ticker_symbol,company_name,company_name_ar,sector_id,description,description_ar,risk_level,risk_level_ar
EGX:FWRY,Fawry For Banking Technology And Electronic Payment,شركة فوري لتكنولوجيا البنوك والمدفوعات الإلكترونية,9,"Egyptï¿½s leading fintech platform, serving over 50 million customers through a massive network of over 340,000 service points.","فوري لتكنولوجيا البنوك والمدفوعات الإلكترونية: منصة التكنولوجيا المالية الرائدة في مصر، تخدم أكثر من 50 مليون عميل عبر شبكة ضخمة من نقاط الخدمة.",Medium,متوسط
EGX:MFPC,Misr Fertilizers Production Company MOPCO,شركة مصر لإنتاج الأسمدة (موبكو),2,"One of the largest producers of urea and ammonia in Egypt, focused on high-quality chemical manufacturing for local and international markets.","مصر لإنتاج الأسمدة (موبكو): من أكبر منتجي اليوريا والأمونيا في مصر، متخصصة في الصناعات الكيماوية للأسواق المحلية والعالمية.",Medium,متوسط
EGX:MTIE,MM Group for Industry & International Trade,مجموعة إم إم للصناعة والتجارة العالمية,8,"A leading Egyptian distribution company with a diverse portfolio across consumer electronics, automotive, and telecommunications.","إم إم جروب للصناعة والتجارة العالمية: شركة توزيع رائدة في مصر، تعمل في الإلكترونيات، السيارات، والاتصالات.",Medium,متوسط
EGX:EFIC,Egyptian Financial & Industrial Co.,الشركة المالية والصناعية المصرية,2,"A major producer of phosphate fertilizers and chemicals, serving as a key pillar in Egyptï¿½s industrial and agricultural sectors.","الشركة المالية والصناعية المصرية: منتج رئيسي للأسمدة الفوسفاتية والكيماويات، وتعد من ركائز القطاع الصناعي والزراعي في مصر.",Medium,متوسط
EGX:MASR,Madinet Masr for Housing & Development,شركة مدينة مصر للإسكان والتعمير,10,A premier real estate developer (formerly MNHD) known for large-scale urban developments and high-end residential communities in Cairo.,"مدينة مصر للإسكان والتعمير: مطور عقاري بارز (سابقًا MNHD)، معروف بتطوير مجتمعات سكنية كبرى في القاهرة.",Medium,متوسط
EGX:TMGH,Talaat Moustafa Group Holding,مجموعة طلعت مصطفى القابضة,10,"The largest listed real estate developer in Egypt, renowned for pioneering large-scale integrated cities and luxury hospitality destinations.","مجموعة طلعت مصطفى القابضة: أكبر مطور عقاري مدرج في مصر، رائدة في إنشاء المدن المتكاملة والمشروعات الفاخرة.",Medium,متوسط
EGX:ISPH,Ibnsina Pharma,شركة ابن سينا فارما,6,Egyptï¿½s fastest-growing pharmaceutical distributor and a major provider of third-party logistics for the healthcare sector.,"ابن سينا فارما: أكبر شركة توزيع دوائي في مصر، وتقدم خدمات لوجستية متكاملة لقطاع الرعاية الصحية.",Medium,متوسط
EGX:PHDC,Palm Hills Development Co.,شركة بالم هيلز للتعمير,10,A premier Egyptian real estate developer and market leader known for high-end integrated communities and an extensive national land bank.,بالم هيلز للتعمير: مطور عقاري رائد متخصص في المجتمعات السكنية الراقية.,Medium,متوسط
EGX:SUGR,Delta Sugar,شركة الدلتا للسكر,5,"A leading Egyptian producer of beet sugar and related agricultural products, playing a vital role in the countryï¿½s food security and industrial supply chain.","الدلتا للسكر: شركة رائدة في إنتاج سكر البنجر، وتلعب دورًا مهمًا في دعم الأمن الغذائي.",Medium,متوسط
EGX:CCAP,QALA Holdings,شركة القلعة القابضة,9,"A leading African investment firm headquartered in Cairo, specializing in energy and infrastructure projects across Egypt and East Africa.","القلعة القابضة: شركة استثمار أفريقية كبرى مقرها القاهرة، متخصصة في الطاقة والبنية التحتية.",Medium,متوسط
EGX:CIEB,Credit Agricole Egypt,بنك كريدي أجريكول – مصر,1,"A subsidiary of the global Credit Agricole Group, providing a full suite of retail and corporate banking services backed by international expertise.","بنك كريدي أجريكول مصر: تابع لمجموعة كريدي أجريكول العالمية، يقدم خدمات مصرفية متكاملة للأفراد والشركات.",High,مرتفع
EGX:ESRS,Ezz Steel,شركة حديد عز,2,"The largest independent steel producer in the Middle East and North Africa, specializing in long and flat steel products for construction and industry.",حديد عز: أكبر منتج مستقل للصلب في الشرق الأوسط وشمال أفريقيا.,High,مرتفع
EGX:BTFH,Beltone Holding,شركة بلتون القابضة,9,"A comprehensive financial services provider offering brokerage, investment banking, asset management, equity research, and non-banking financial solutions.","بلتون القابضة: شركة خدمات مالية شاملة تشمل السمسرة، الاستثمار، وإدارة الأصول.",High,مرتفع
EGX:ORHD,Orascom Development Egypt (S.A.E),شركة أوراسكوم للتنمية مصر,10,"A leading integrated community developer operating resort towns across Egypt and Europe, including El Gouna, Makadi Heights, and Taba Heights, combining real estate, hospitality, and tourism.",أوراسكوم للتنمية مصر: مطور مجتمعات سياحية متكاملة مثل الجونة ووجهات سياحية أخرى.,High,مرتفع
EGX:ADIB,Abu Dhabi Islamic Bank-Egypt,مصرف أبو ظبي الإسلامي – مصر,1,"A leading universal Islamic bank in Egypt offering a wide range of Shariï¿½a-compliant services to retail, corporate, and SME clients.",مصرف أبو ظبي الإسلامي – مصر: بنك إسلامي يقدم خدمات مصرفية متوافقة مع الشريعة الإسلامية.,High,مرتفع
EGX:EGAL,Egypt Aluminum,شركة مصر للألومنيوم,2,"The largest aluminum producer in Egypt and one of the biggest in Africa, focused on high-quality smelting and manufacturing of aluminum products.",مصر للألومنيوم: أكبر منتج للألومنيوم في مصر وأحد الأكبر في أفريقيا.,High,مرتفع
EGX:HELI,Heliopolis Housing,شركة مصر الجديدة للإسكان والتعمير (هليوبوليس),10,"One of Egypt's oldest and most established real estate developers, operating as a subsidiary of the Holding Company for Construction and Development.",هليوبوليس للإسكان والتعمير: واحدة من أقدم شركات التطوير العقاري في مصر.,High,مرتفع
EGX:HRHO,EFG Holding S.A.E.,إي إف جي القابضة,9,"A leading investment bank in the Arab world providing investment banking, asset management, private equity, securities brokerage, and research services.",إي إف جي القابضة: بنك استثماري رائد في المنطقة العربية يقدم خدمات مالية واستثمارية متنوعة.,High,مرتفع
EGX:CIRA,Cairo For Investment And Real Estate Developments -CIRA Education,شركة القاهرة للاستثمار والتنمية العقارية (سيرا للتعليم),3,"The largest integrated education provider in Egypt's private sector, managing a wide network of schools and universities.",القاهرة للاستثمار والتنمية العقارية (سيرا للتعليم): أكبر مزود متكامل للتعليم الخاص في مصر.,High,مرتفع
EGX:DOMT,Arabian Food Industries Co.,شركة الصناعات الغذائية العربية,5,"A leading Egyptian food manufacturer specializing in the production of cheese, juice, and bakery products for local and international markets.",الصناعات الغذائية العربية: شركة مصرية رائدة في إنتاج الأجبان والعصائر والمخبوزات للأسواق المحلية والعالمية.,High,مرتفع
